RPM,Torque,
4731.500932,76.46133683,0.88
4739.098813,243.6906946,0.88
4773.289277,79.75797291,0.88
4784.686098,243.6906946,0.88
4811.278681,83.29436435,0.88
4830.273383,243.6906946,0.88
4845.469145,86.42616863,0.88
4875.860669,243.6906946,0.88
4879.659609,89.94757536,0.88
4921.447954,243.6906946,0.88
4913.850073,93.61882918,0.88
4944.241596,97.14023591,0.88
4967.035239,243.6906946,0.88
4974.63312,101.1861075,0.88
5005.024643,105.3818261,0.88
5016.421465,109.2279016,0.88
5008.04829,243.8095238,0.88
609.6505639,113.848187,0.92
605.8516235,108.8283093,0.92
605.8516235,105.231979,0.92
604.58531,101.1361584,0.92
617.2484448,119.417504,0.92
613.4495044,96.31607689,0.92
624.8463257,123.9129168,0.92
624.8463257,91.07142857,0.92
640.0420874,128.9827436,0.92
640.0420874,85.97662735,0.92
655.2378491,133.9276977,0.92
655.2378491,82.00567934,0.92
670.4336108,138.4231105,0.92
678.0314917,78.05970584,0.92
685.6293726,142.6188292,0.92
700.8251343,146.6647007,0.92
700.8251343,74.3634775,0.92
716.020896,150.3359546,0.92
727.4177173,70.69222368,0.92
731.2166577,153.9322848,0.92
746.4124195,157.5286151,0.92
757.8092408,67.32066405,0.92
761.6081812,161.7742828,0.92
784.4018238,166.5693898,0.92
791.9997046,63.9341197,0.92
803.3965259,170.2656182,0.92
822.3912281,174.1616426,0.92
833.7880494,60.37774865,0.92
845.1848707,178.3573613,0.92
867.9785133,182.2533858,0.92
879.3753346,57.33085773,0.92
890.7721559,186.3492063,0.92
913.5657985,190.0454347,0.92
924.9626198,54.73350808,0.92
936.359441,193.641765,0.92
959.1530836,197.0382991,0.92
970.5499049,52.48580166,0.92
981.9467262,200.4348333,0.92
1004.740369,204.1310616,0.92
1016.13719,50.53778943,0.92
1027.534011,207.3277996,0.92
1054.126594,211.1738751,0.92
1061.724475,48.98936945,0.92
1084.518118,214.9200524,0.92
1107.31176,47.59079656,0.92
1118.708582,218.5763215,0.92
1152.899046,46.44196884,0.92
1160.496927,222.0627639,0.92
1198.486331,45.54288627,0.92
1206.084212,224.8599097,0.92
1244.073616,44.69375273,0.92
1251.671497,227.0576671,0.92
1289.660901,44.04441532,0.92
1297.258782,228.7559342,0.92
1335.248186,43.49497597,0.92
1342.846067,229.9547109,0.92
1380.835472,42.94553662,0.92
1388.433352,230.8537935,0.92
1426.422757,42.54594437,0.92
1434.020638,231.5530799,0.92
1472.010042,42.29619921,0.92
1479.607923,231.702927,0.92
1517.597327,41.89660696,0.92
